Code,Country,Export-Total-2013 (1000USD),Import-Total-2013 (1000USD),Export-Total-2014 (1000USD),Import-Total-2014 (1000USD),Export-Total-2015 (1000USD),Import-Total-2015 (1000USD),Export-Total-2016 (1000USD),Import-Total-2016 (1000USD),Export-Total-2017 (1000USD),Import-Total-2017 (1000USD)
ABW,Aruba,528832.646,2292014.241,502409.5074,2677611.414,293877.288,1593864.88,138541.5161,954504.4596,143857.801,895037.3308
AFG,Afghanistan,695094.4644,4922368.142,800447.0098,4764219.903,823196.1986,4255556.478,1118092.293,3439549.573,865906.989,2107016.282
AGO,Angola,72924739.7,7109598.186,65590663.19,6050937.287,38491153.72,3384042.641,27699090.36,2588261.038,32910249.97,2457771.016
AIA,Anguilla,1074.897,22377.312,1516.327,33653.933,1477.61,15893.01,1937.749,8082.788,299.794,18992.622
ALA,Aland Islands,,,,,,,,,,
ALB,Albania,1504790.479,1871671.234,1135308.225,1633350.099,889018.6583,1310261.783,807158.677,1246335.137,823477.9317,1202771.309
AND,Andorra,239256.8929,308722.9205,336709.5335,322844.263,8079.179,226365.737,32241.525,214051.196,25429.396,233813.307
ARE,United Arab Emirates,222373506.6,93424045.76,272447422.3,81842460.04,129329201.6,61918299.11,122007229.7,70151859.02,117495645.5,52858243.53
ARG,Argentina,53753409.02,16361559.82,48510939.81,16046858.29,42803800.87,11171120.84,43364392.14,8722876.197,43483884.2,11148613.19
ARM,Armenia,945988.2421,1820788.037,1046870.957,1822081.39,980540.7186,1367171.115,1294442.92,1241453.432,1699626.636,1456996.207
ASM,American Samoa,20125.617,208802.592,40375.205,177047.082,16324.709,82069.504,20058.1,101083.923,14712.188,77099.253
ATA,Antarctica,19576.654,5718.232,4461.136,4886.404,4980.896,5552.124,1517.375,18283.619,202.122,14367.988
ATF,French Southern Territories,4847.196,10512.606,6108.012,16637.614,4900.137,7915.141,8787.349,5445.915,8555.472,5234.483
ATG,Antigua and Barbuda,162472.9895,573090.3524,88987.93927,418685.6227,68416.22218,539101.9425,60857.71305,269751.9306,97478.46296,288034.4978
AUS,Australia,245239165.1,59480895.43,243914549,55466022.82,189141505.2,39165373.31,178363154.9,35624551.46,232014993.8,42047359.82
AUT,Austria,31286577.64,47315461.52,30394569.31,43418183.15,25067422.81,33662097.68,23602858,30802764.56,26136788.74,36501105.89
AZE,Azerbaijan,29595262.14,2995572.413,24956535.02,3078636.122,16587215.33,1985481.662,11388992.41,1998962.179,17336548.03,2040155.997
BDI,Burundi,249084.6728,316614.3318,252756.6595,275882.695,130098.1809,197998.8312,184382.0335,208415.8837,131726.9574,331309.4645
BEL,Belgium,150402557.6,162809645.2,133623464.9,143546267.6,100835123.1,106618580.3,100989266.5,99488333.73,111996634.4,121331840
BEN,Benin,1172080.168,2322306.383,1503855.994,2768574.822,972422.5472,1982747.87,1097986.934,2305208.578,550450.624,1440630.263
BES,"Bonaire, Sint Eustatius and Saba",2078.693,149941.807,72197.783,122567.78,9455.163,46949.043,4672.845,310881.664,13441.799,164709.637
BFA,Burkina Faso,2328768.488,1910872.721,2616883.378,1682804.451,1419908.098,1330748.874,2466169.84,1340560.654,2364180.313,465599.101
BGD,Bangladesh,2922625.977,17638659.09,2307576.398,14877066.58,2349586.522,21969442.25,1960448.869,14446180.8,1768424.71,16664609.65
BGR,Bulgaria,14874070.27,15140594.9,13857638.6,12775570.31,10766737.74,10893955.49,10203160.08,10162801.44,12017335.51,13728848.08
BHR,Bahrain,20030353.79,11795463.31,18192653.15,11596546.92,11078206.59,7327648.46,9376965.815,5961718.924,4747604.781,1543553.295
BHS,Bahamas,1445927.446,3612289.957,1828899.398,4296155.227,662443.1161,2680152.456,492160.197,1926273.779,468226.133,3274753.708
BIH,Bosnia and Herzegovina,2153405.696,3784552.749,2101737.568,3602261.593,1746796.709,2796303.139,1669968.973,2803630.765,1885771.992,3358932.614
BLM,Saint Barthélemy,152.207,5911.478,2550.645,524.969,14662.712,17153.991,5338.579,17023.574,22229.317,19184.2
BLR,Belarus,19570033.44,18579029.7,20580180.32,17980350.57,15924408.59,14526038.07,11592177.33,12364960.77,15785379.25,15572591.15
BLZ,Belize,418558.5099,508489.54,377253.3889,337448.1362,400856.9933,294735.187,358472.2142,263641.8513,270260.8631,287066.7617
BMU,Bermuda,282965.6258,271192.0218,22027.1,276072.0731,37118.965,181204.5111,13082.11628,196293.9799,52383.725,238742.8058
BOL,Bolivia,11965336.09,2008482.818,12605998.07,2103465.107,8394011.75,1702602.829,6710307.506,1501279.41,7494208.721,1402812.763
BRA,Brazil,175090995,76298593.58,172076907.9,73846189.96,141323567.9,47241580.28,131239593.3,36991763.7,161564850.7,45276539.14
BRB,Barbados,161357.419,1066791.04,219401.1923,841288.024,83502.40446,550841.1338,91964.20777,457128.4892,117735.5139,563693.6047
BRN,Brunei Darussalam,11361996.08,702156.8776,10144637.47,769210.4638,6170187.205,636748.6436,4471516.808,662479.0255,5108562.778,784486.9433
BTN,Bhutan,123483.984,94785.171,134836.122,134983.829,166643.556,146578.737,100537.322,131965.356,160146.304,214132.854
BVT,Bouvet Island,374.192,0.003,1087.822,,95.991,,0.002,,3.341,
BWA,Botswana,7220925.395,4128010.987,6934112.886,4534381.045,5363339.031,4010715.146,7357296.614,3098974.33,5899513.5,3059697.522
CAF,Central African Republic,112581.1888,268484.4433,69801.11819,73407.51395,63176.26814,71523.76938,103722.2326,76442.3722,52638.099,100319.167
CAN,Canada,246075195.5,106162693.8,252170250.1,104834300.3,192138400.9,80773226.63,167293147.5,72693171.9,196444568.4,76800593.1
CCK,Cocos (Keeling) Islands,82.05,647.567,124.46,6180.833,127.758,366.712,567.849,482.3,64.931,325.416
CHE,Switzerland,143476470.8,140692016.1,88435687.22,102628189.2,89813744.13,84937598.69,87410507.65,104818155.9,82619805.11,101821936.9
CHL,Chile,70369553.46,24527530.35,68386018.35,22408746.55,57404841.15,15256864.57,53606152.53,13899472.86,60755378.25,16706107.91
CHN,China,183755642.8,806116610.4,203200879.1,764074994.3,181745515.2,585480605.9,166240085.5,554086517.9,175921958.7,678136079.6
CIV,Cote d'Ivoire,10802986.84,5823480.339,12049069.59,5380195.931,11140246.54,4400881.075,10665504.93,3331555.756,9991267.074,2852791.044
CMR,Cameroon,5411492.583,3308702.025,5906829.416,3681892.154,4972118.842,2675306.949,3890028.725,2015870.79,4961418.387,3919053.686
COD,"Congo, The Democratic Republic of ",7243458.826,1897443.358,7773073.112,1700178.685,5613630.679,1301260.329,4188449.103,879753.865,6184381.563,1069312.84
COG,Congo,11271286.5,1104541.903,9717517.448,1383083.335,6463274.939,891048.62,5371911.208,576056.743,5884243.29,718251.4229
COK,Cook Islands,15822.201,34586.124,23652.945,41434.877,17139.548,31359.687,22724.091,28578.505,26637.237,26982.799
COL,Colombia,55698706.37,15819824.47,53365887.95,16870236.74,34320467.1,13641025.18,28820456.16,11800638.78,35461352.32,11780839.85
COM,Comoros,33390.71911,87328.96303,45839.995,91410.109,40576.143,80602.915,61870.554,76735.827,55146.727,78197.501
CPV,Cape Verde,65434.13962,441629.0389,61419.34926,308657.2202,39310.11195,278776.263,34168.29665,389782.2888,35580.44591,324436.0349
CRI,Costa Rica,5226958.534,4641156.007,5328848.233,4484813.147,4808146.474,3557453.987,5125967.882,3342683.496,5585665.447,3087808.881
CUB,Cuba,1598701.984,2150976.023,1268521.944,2113001.616,1008486.807,1945183.955,733082.323,1750037.879,966756.904,2070324.526
CUW,Curaçao,3898521.983,1851185.79,2566694.199,1714752.332,1576406.415,1129295.673,1432893.3,774048.714,1109732.111,577839.194
CXR,Christmas Island,26431.784,12770.729,30619.755,9957.761,30005.416,6928.142,17063.394,10392.849,15518.65,7168.474
CYM,Cayman Islands,1357.064,320360.755,26555.382,284059.787,107924.262,282537.956,72650.095,331053.226,15659.411,482826.437
CYP,Cyprus,2996354.206,4588542.833,1370499.119,3459749.415,1841391.141,2239785.377,1201985.124,2088432.353,1684883.363,2974720.581
CZE,Czechia,18645307.58,33190750.24,18478326.34,31722237.33,15917485.83,26121214.62,14233608.63,23299625.99,15846887.21,27846174.38
DEU,Germany,186154986.6,363551403.1,175587800.1,337717478.2,146811972.8,261055560.2,134885513.8,220879425.5,154339050.5,261008145.6
DJI,Djibouti,127519.535,1110590.197,124029.717,1339173.519,63337.962,1498376.19,58632.992,1245498.959,40442.489,1128579.241
DMA,Dominica,25458.066,79438.763,43130.603,71884.649,54228.669,47568.343,12121.652,34243.193,10133.993,129353.313
DNK,Denmark,30569459.4,25901028.04,27841350.33,24552775.4,22413350.54,19227029.98,20957227.11,17336103.93,23947913.71,20190463.74
DOM,Dominican Republic,3627147.927,8169353.348,4648166.715,7589414.256,3128598.435,5854021.77,3329918.402,5315686.912,3263339.154,6331000.716
DZA,Algeria,72578980.94,19071322.28,65427637.58,19165473.39,39389398.13,15958007.91,32239046.37,13430911.53,38293029.4,13627074.11
ECU,Ecuador,24512183.43,10492901.71,25478500.95,9952967.26,17755009.5,6979695.298,15461138.29,5371528.867,18475769.58,6646607.919
EGY,Egypt,23915083.07,33542755.11,19555678.37,40838382.94,15357892.69,35699390.42,15986789.04,27568792.23,17547238.66,34150599.73
ERI,Eritrea,311614.708,95250.873,573408.657,87266.019,436716.487,65203.028,369665.118,96975.656,287707.62,129221.711
ESH,Western Sahara,588.837,,3972.624,4068.834,410.949,308.738,8482.086,1401.116,87.164,76644.898
ESP,Spain,87260119.24,128807335.9,89653631.89,128008101.3,71855390.77,91540473.37,69936119.02,81955341.65,82763417.6,101629775.2
EST,Estonia,5008495.747,6972012.97,5988779.819,6747914.794,3722848.215,4697769.679,3522018.901,4285109.398,4399670.714,5261051.422
ETH,Ethiopia,3607192.27,4729876.014,4205542.393,7133992.922,4067998.457,6913888.862,2222733.874,5240818.845,1910215.072,1219145.171
FIN,Finland,28089199.21,31276789.31,27318908.15,28287716.57,19594323.29,17348730.48,19526739.2,16035185.93,23153898.7,19087329.57
FJI,Fiji,591880.9803,1199728.169,703296.4338,1400247.895,583825.3197,903463.4848,562975.0892,829138.9129,634347.7213,981167.7239
FLK,Falkland Islands (Malvinas),185884.609,55447.17,200257.579,70611.589,190355.443,47167.883,254885.994,22438.804,207769.811,25947.11
FRA,France,107922397.3,196134263.4,101500457.6,173863996.9,81762446.02,133022723.8,75737069.97,117904138.1,84553226.39,137636173
FRO,Faroe Islands,1262247.166,331427.712,1284836.83,276758.023,1166481.227,222232.635,1349479.755,155704.764,1462598.756,284921.891
FSM,"Micronesia, Federated States of",61141.305,101539.7504,33447.652,88969.986,20807.308,78257.071,59594.522,67471.677,28933.938,70453.198
GAB,Gabon,10617576.46,832372.899,10469541.4,731135.895,5949610.862,548174.168,3963706.211,428061.557,5170025.733,466103.525
GBR,United Kingdom,161911549.3,188734326.3,126518973.3,169156750.6,85523958.09,135732184.2,74429998.59,137874280.3,88131711.66,148326057
GEO,Georgia,1737115.065,3505239.817,1838861.388,3391205.407,1531190.104,2739911.105,1296319.007,2462630.475,1577457.576,2754426.143
GGY,Guernsey,,,,,,,,,,
GHA,Ghana,11355666.11,5050975.43,12317832.87,5724858.509,10927701.83,3683005.866,11928777.84,3439235.81,10194048.4,4059372.071
GIB,Gibraltar,455282.985,16173541.53,800871.645,11994176.55,322922.097,7476916.7,134038.535,6920219.209,45570.401,6738531.048
GIN,Guinea,2236642.515,1629610.453,2948379.645,1652844.509,2031260.312,1088458.504,3348071.528,1058516.344,3040551.526,1089182.744
GLP,Guadeloupe,,,,,,,,,,
GMB,Gambia,124838.1721,370575.0352,105317.7901,402512.2973,121009.666,292621.903,158232.9438,365497.6438,173638.274,370075.774
GNB,Guinea-Bissau,280372.581,163581.955,260438.652,209473.865,276171.389,120422.66,312390.121,111707.123,271008.243,159877.765
GNQ,Equatorial Guinea,13879450.54,528202.411,12431059.28,479685.241,6337692.528,299466.406,4315482.653,169477.308,4836597.535,180471.479
GRC,Greece,23374090.03,31167805.27,22079340.83,28930705.27,15650707.06,19502734.26,14812089.36,18754169.05,17976893.41,22963462.79
GRD,Grenada,40281.932,94258.455,26969.993,101579.13,30396.465,68593.465,27358.892,50497.767,25338.513,53311.292
GRL,Greenland,625445.5913,312024.8374,696036.4404,310595.1277,661418.8768,184552.626,781400.2994,181983.2195,773460.145,188895.976
GTM,Guatemala,6790557.169,5976429.972,7276011.005,5803534.662,6836128.656,5311197.724,6664319.558,4976265.355,5911842.004,5296063.288
GUF,French Guiana,,,,,,,,,,
GUM,Guam,62118.191,550809.012,12308.013,796225.16,2593.91,407240.71,5546.167,366302.852,5615.299,410123.647
GUY,Guyana,1564377.597,1110280.989,1290319.218,880506.6992,1228119.35,527148.7091,1454117.583,567300.9635,1595338.115,645152.7393
HKG,Hong Kong,91359866.47,175500568.9,68206830.8,133034808.1,37920205.97,104937657.3,54530507.97,92556142.06,67303535.82,92500231.3
HMD,Heard and Mc Donald Islands,8536.151,324.35,470.873,15.451,4.417,135.643,3.263,,0.071,
HND,Honduras,3076563.808,3689025.696,3275576.486,4074669.366,3082201.419,3330380.475,3078626.753,2908770.931,3613180.422,3229501.713
HRV,Croatia,4243061.275,7914038.164,5597427.563,8104466.952,3631382.013,6686920.061,3554215.046,5832313.893,3306460.354,6047413.514
HTI,Haiti,86610.109,1225160.299,89103.954,1455801.969,66683.296,1146262.087,55063.008,1144387.631,44177.179,1389261.546
HUN,Hungary,14449922.21,22292301.33,13256096.91,21969344.19,11015539.3,15138633.99,9796250.692,13713273.57,12018632.13,16932492.31
IDN,Indonesia,126785068.9,83451606.18,114773449.1,81295030.44,92431315.24,54780701.07,83444593.59,50158072.95,102302349.5,63936369.26
IMN,Isle of Man,,,,,,,,,,
IND,India,162840246.4,307447829,144131847.4,298780204,105571224.6,224228793.1,101111653.2,190850823.3,132253167.3,249264625.1
IOT,British Indian Ocean Territory,4328.605,76734.041,1496.278,7080.024,5839.871,5884.848,1927.255,19539.141,2980.004,29726.406
IRL,Ireland,11997833.31,18161479.22,12773938.9,17368666.7,10727937.73,13314036.1,10159525.21,11307429.56,11812480.25,13121181.76
IRN,"Iran, Islamic Republic of",50253165.15,17183529.41,51384159.41,15179597.41,28987926.53,12235063.56,38157076.59,11455426.42,52001859.28,11561595.59
IRQ,Iraq,90249645.25,10263188,170843948.8,19548785.5,103716344.2,7611085.336,92974056.06,7072709.919,66804005.02,7480876.576
ISL,Iceland,4905096.339,1396467.766,4859601.132,1366579.533,4646709.07,1245597.028,4052712.76,1152367.929,4695642.178,1394190.762
ISR,Israel,22895751.86,32706840.05,28877416.62,33113529.06,21437772.59,21721597.05,20143532.05,21158293.09,16455786.14,24372915.74
ITA,Italy,84323621.23,203519741.4,79349312.61,193240143,65561093.07,147323285.5,62125385.76,125582731.1,72048457.76,153032443.4
JAM,Jamaica,745248.0051,3300545.485,545335.2223,2906414.347,507506.9221,1842472.18,418928.905,1668987.43,319404.0667,2112505.099
JEY,Jersey,,,,,,,,,,
JOR,Jordan,2955869.445,11641101.51,3730050.69,12061669.02,2941656.412,8952968.94,2384741.622,7600665.785,2634055.96,8039610.519
JPN,Japan,86297296.37,409712313.9,80287181.42,387533884.6,69315973.26,228865181.9,65304569.81,207269111.3,72702185.57,245807291.8
KAZ,Kazakstan,73364864.54,10839495.12,70156792.77,7727148.595,42555783.45,6010580.087,33117644.24,5462919.413,44452754.42,6831767.248
KEN,Kenya,3859103.936,7439107.424,4265768.228,7807461.874,3828688.927,5200493.765,3413206.346,4146381.493,4021715.942,7173672.802
KGZ,Kyrgyzstan,1268812.39,2421595.111,939832.26,2092400.117,983177.6913,1539968.384,964899.0282,1020884.234,1436247.656,1367534.441
KHM,Cambodia,1358880.68,3683181.701,1602890.849,3235019.782,1799445.995,3694701.484,3209233.657,3949941.698,1007244.625,1530297.184
KIR,Kiribati,85589.21652,56304.53785,82139.28223,79314.78277,126656.3153,60949.97505,139510.7609,55867.64658,52673.6,26851.069
KNA,Saint Kitts & Nevis,1413.612518,72560.28258,7773.274209,102036.1796,1420.645766,69126.24856,1975.786533,69156.29318,1935.270554,72054.43432
KOR,"Korea, Republic of",100983396,266411211,110190895.9,266486563,75132991.72,176645691.3,66694378.9,152442973.9,81447477.15,190965943.7
