,domestic_traffic_inwards,domestic_traffic_outwards,european_union_traffic_inwards,european_union_traffic_outwards,non-eu_foreign_traffic_inwards,non-eu_foreign_traffic_outwards,Total,port_name,iso3,country_name,latitude,longitude,harborsize,harbortype,railway,top_10_busiest_ports,busiest_ports_ranking,amount_shipped_through,busiest_UKports
Aberdeen,1536.467,1796.029,238.273,201.741,172.942,112.968,4058.42,ABERDEEN,GBR,United Kingdom,57.15,-2.083333,M,RB,None,0,0,0,0
Belfast,5998.598,5767.772,2662.6,1109.972,2512.152,174.836,18225.929999999997,BELFAST,GBR,United Kingdom,54.616667,-5.9,L,RB,S,0,0,0,0
Boston,0.0,0.0,601.379,116.588,18.393,2.052,738.412,BOSTON,GBR,United Kingdom,52.966667,-0.016667,S,RT,S,0,0,0,0
Bristol,1906.92,145.195,1611.869,677.59,3686.488,712.625,8740.687,BRISTOL,GBR,United Kingdom,51.466667,-2.633333,M,RT,S,0,0,0,0
Cardiff,1046.743,54.824,346.492,37.398,88.082,0.0,1573.5389999999998,CARDIFF,GBR,United Kingdom,51.45,-3.166667,M,CT,S,0,0,0,0
Dover,4.083,20.298,15287.804,10668.65,241.143,0.728,26222.706,DOVER HARBOR,GBR,United Kingdom,51.116667,1.333333,S,CB,M,0,0,0,0
Dundee,18.455,1.846,419.428,64.35,61.84,0.442,566.361,DUNDEE,GBR,United Kingdom,56.466667,-2.95,L,RB,None,0,0,0,0
Felixstowe,226.259,290.304,4906.184,2914.107,12821.984,7868.952,29027.79,FELIXSTOWE,GBR,United Kingdom,51.95,1.316667,V,RN,S,0,0,0,1
Fishguard,11.329,0.0,211.404,157.838,0.0,0.0,380.571,FISHGUARD,GBR,United Kingdom,52.016667,-4.983333,S,CB,S,0,0,0,0
Fowey,7.28,8.73,0.0,297.393,0.0,168.293,481.69599999999997,FOWEY HARBOUR,GBR,United Kingdom,50.333333,-4.633333,S,RN,M,0,0,0,0
Glensanda,0.0,2288.82,0.0,3621.312,0.0,227.941,6138.072999999999,GLENSANDA,GBR,United Kingdom,56.566667,-5.533333,V,RN,None,0,0,0,0
Goole,24.431,9.928,1227.85,122.367,51.495,3.487,1439.5579999999998,GOOLE,GBR,United Kingdom,53.7,-0.833333,S,RT,S,0,0,0,0
Great Yarmouth,161.49,232.976,185.036,95.674,519.355,2.056,1196.587,GREAT YARMOUTH,GBR,United Kingdom,52.616667,1.733333,S,RN,S,0,0,0,0
Harwich,33.528,82.324,3011.559,1606.56,11.146,9.703,4754.82,HARWICH,GBR,United Kingdom,51.95,1.283333,S,RN,M,0,0,0,0
Heysham,1874.153,1937.247,428.639,390.331,0.0,0.0,4630.37,HEYSHAM,GBR,United Kingdom,54.033333,-2.916667,V,CB,None,0,0,0,0
Holyhead,4.785,2.858,2582.89,2646.781,0.0,0.0,5237.314,HOLYHEAD,GBR,United Kingdom,53.316667,-4.633333,S,CB,S,0,0,0,0
Hull,96.677,214.601,6150.638,2185.396,866.231,309.97,9823.512999999999,HULL,GBR,United Kingdom,53.75,-0.283333,M,RT,None,0,0,0,0
Ipswich,424.96,221.509,946.618,432.637,96.977,54.074,2176.775,IPSWICH,GBR,United Kingdom,52.05,1.166667,S,RT,S,0,0,0,0
Larne,1451.237,1402.327,10.802,7.702,0.0,0.0,2872.0680000000007,LARNE,GBR,United Kingdom,54.85,-5.8,S,CN,S,0,0,0,0
Liverpool,3373.091,1620.92,7158.001,4046.713,13525.92,2816.604,32541.249,LIVERPOOL,GBR,United Kingdom,53.416667,-3.0,L,RT,L,0,0,0,1
London,10215.198,280.88,19920.494,3871.001,12120.315,3460.507,49868.395000000004,LONDON,GBR,United Kingdom,51.5,-0.083333,L,RB,M,0,0,0,1
Londonderry,383.741,17.339,573.991,13.716,752.69,66.332,1807.8089999999997,LONDONDERRY,GBR,United Kingdom,55.0,-7.316667,M,RN,None,0,0,0,0
Manchester,226.084,569.924,2171.963,3383.238,370.767,67.196,6789.1720000000005,MANCHESTER,GBR,United Kingdom,53.483333,-2.266667,L,RT,None,0,0,0,0
Milford Haven,475.613,4309.479,2265.394,4323.313,17505.069,3110.771,31989.639000000003,MILFORD HAVEN,GBR,United Kingdom,51.716667,-5.033333,M,RN,None,0,0,0,1
Newhaven,17.131,12.596,349.752,313.077,0.0,14.304,706.86,NEWHAVEN HARBOUR,GBR,United Kingdom,50.783333,0.05,V,RN,None,0,0,0,0
Newport,301.626,50.981,788.583,720.169,921.131,667.236,3449.7259999999997,NEWPORT,GBR,United Kingdom,51.55,-2.983333,M,RT,None,0,0,0,0
Peterhead,763.236,436.948,76.849,8.454,1.486,1.248,1288.221,PETERHEAD,GBR,United Kingdom,57.5,-1.783333,M,CB,None,0,0,0,0
Plymouth,963.266,124.551,865.193,203.486,3.279,224.079,2383.8540000000003,PLYMOUTH,GBR,United Kingdom,50.366667,-4.15,M,CN,None,0,0,0,0
Poole,120.442,38.968,387.976,270.471,0.0,0.0,817.857,POOLE HARBOUR,GBR,United Kingdom,50.683333,-1.95,S,RN,S,0,0,0,0
Port Talbot,3.55,245.294,169.692,0.0,7170.239,0.0,7588.775,PORT TALBOT,GBR,United Kingdom,51.583333,-3.816667,S,CB,None,0,0,0,0
Portsmouth,531.452,352.527,1304.805,851.717,743.109,82.171,3865.781,PORTSMOUTH HARBOUR,GBR,United Kingdom,50.8,-1.1,M,CT,M,0,0,0,0
Ramsgate,55.173,0.0,3.191,0.651,0.0,0.0,59.01500000000001,RAMSGATE,GBR,United Kingdom,51.333333,1.416667,S,CB,S,0,0,0,0
Shoreham,1389.049,61.055,475.796,133.964,3.37,0.0,2063.234,SHOREHAM HARBOUR,GBR,United Kingdom,50.816667,-0.25,V,LC,M,0,0,0,0
Southampton,2285.159,1432.155,4027.592,4572.739,15187.591,6965.804,34471.04,SOUTHAMPTON,GBR,United Kingdom,50.9,-1.4,L,RB,M,0,0,0,1
Sullom Voe,0.2,601.967,0.0,3791.637,0.0,785.047,5178.851000000001,SULLOM VOE,GBR,United Kingdom,60.466667,-1.3,S,CN,None,0,0,0,0
Sunderland,0.178,25.835,310.603,188.96,306.149,3.566,835.291,SUNDERLAND,GBR,United Kingdom,54.916667,-1.366667,M,RT,M,0,0,0,0
Swansea,98.976,17.365,215.217,129.469,28.065,52.454,541.5459999999999,SWANSEA,GBR,United Kingdom,51.616667,-3.95,S,RT,M,0,0,0,0
Tyne,529.451,140.851,602.018,674.186,823.433,483.521,3253.4600000000005,TYNEMOUTH,GBR,United Kingdom,55.0,-1.4,M,RT,S,0,0,0,0
